time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-03-04T19:35:52.995Z,-29.7555,-177.1779,10,5.6,mb,,131,26.959,0.83,us,us7000dhr8,2021-03-25T20:29:57.668Z,"Kermadec Islands, New Zealand",earthquake,9.9,1.8,0.098,37,reviewed,us,us
2021-03-04T19:28:33.178Z,-29.7228,-177.2794,28.93,8.1,mww,,21,0.739,0.69,us,us7000dflf,2021-04-14T15:23:21.475Z,"Kermadec Islands, New Zealand",earthquake,7.7,3.3,0.034,81,reviewed,us,us
2021-03-04T19:23:51.987Z,39.8812,21.9795,10,5.5,mb,,20,0.45,0.99,us,us7000dfld,2021-03-25T14:31:05.279Z,"7 km S of Kraniá Elassónas, Greece",earthquake,4.8,1.8,0.028,440,reviewed,us,us
2021-03-04T18:38:19.386Z,39.7865,22.1157,10,5.8,mb,,19,0.427,0.91,us,us7000dfku,2021-04-14T15:15:57.513Z,"11 km E of Verdikoússa, Greece",earthquake,5.5,1.8,0.036,277,reviewed,us,us
2021-03-04T17:41:23.370Z,-29.6768,-177.8398,43,7.4,mww,,30,0.437,1.09,us,us7000dfk3,2021-04-14T15:10:54.857Z,"Kermadec Islands, New Zealand",earthquake,7.8,1.9,0.049,40,reviewed,us,us
2021-03-04T16:53:11.176Z,-14.464,167.32,173.3,6.1,mww,,22,0.983,0.75,us,us7000dfhs,2021-03-06T17:02:06.977Z,"69 km NNE of Port-Olry, Vanuatu",earthquake,7.7,4,0.073,18,reviewed,us,us
2021-03-04T14:10:36.559Z,-23.114,171.8814,10,5.6,mb,,81,4.12,1,us,us7000dfgg,2021-03-28T16:32:49.042Z,"southeast of the Loyalty Islands",earthquake,4.8,1.9,0.045,177,reviewed,us,us
2021-03-04T13:27:34.885Z,-37.5459,179.3587,10,7.3,mww,,26,3.956,0.92,us,us7000dffl,2021-04-10T20:38:15.273Z,"170 km NE of Gisborne, New Zealand",earthquake,8.4,1.7,0.054,33,reviewed,us,us
2021-03-03T10:16:09.757Z,39.7547,22.1756,8,6.3,mww,,17,0.423,0.56,us,us7000df40,2021-04-10T06:21:38.232Z,"9 km W of Týrnavos, Greece",earthquake,3.1,1.8,0.034,81,reviewed,us,us
2021-03-02T21:22:46.236Z,43.9624,147.9495,30,5.8,mww,,32,3.865,0.8,us,us7000deyu,2021-03-08T03:22:50.396Z,"100 km E of Shikotan, Russia",earthquake,8.3,1.8,0.071,19,reviewed,us,us
2021-03-02T09:23:02.046Z,21.9305,121.2921,31.63,5.5,mww,,81,0.904,0.53,us,us7000detx,2021-04-12T13:42:15.693Z,"57 km E of Hengchun, Taiwan",earthquake,7.6,4,0.063,24,reviewed,us,us
